ID,TrainDate,TrainNo,StartingStation,EndingStation,TrainTypePrice,TrainTypeName,ArrivalTime,DepartureTime
230,2022/1/14,1816,竹中,內灣,5,區間,11:51:00,11:52:00
231,2022/1/14,1818,竹中,內灣,5,區間,12:51:00,12:52:00
232,2022/1/14,1819,內灣,竹中,5,區間,12:47:00,12:47:00
233,2022/1/14,182,潮州,花蓮,30,自強(推拉式自強號且無自行車車廂),05:06:00,05:14:00
234,2022/1/14,1821,內灣,竹中,5,區間,13:47:00,13:47:00
235,2022/1/14,1822,竹中,內灣,5,區間,13:51:00,13:52:00
236,2022/1/14,1823,內灣,竹中,5,區間,14:47:00,14:47:00
237,2022/1/14,1824,竹中,內灣,5,區間,14:51:00,14:52:00
238,2022/1/14,1825,內灣,竹中,5,區間,15:47:00,15:47:00
239,2022/1/14,1826,竹中,內灣,5,區間,15:51:00,15:52:00
240,2022/1/14,1827,內灣,竹中,5,區間,16:47:00,16:47:00
241,2022/1/14,1828,竹中,內灣,5,區間,16:51:00,16:52:00
242,2022/1/14,1832,竹中,內灣,5,區間,17:51:00,17:52:00
243,2022/1/14,1833,內灣,竹中,5,區間,17:47:00,17:47:00
244,2022/1/14,1835,內灣,竹中,5,區間,18:47:00,18:47:00
245,2022/1/14,1836,竹中,內灣,5,區間,18:51:00,18:52:00
246,2022/1/14,1838,竹中,內灣,5,區間,19:51:00,19:52:00
247,2022/1/14,1839,內灣,新竹,5,區間,19:47:00,19:47:00
248,2022/1/14,1841,內灣,新竹,5,區間,20:47:00,20:47:00
249,2022/1/14,1842,新竹,內灣,5,區間,21:35:00,21:35:00
250,2022/1/14,1843,內灣,新竹,5,區間,22:47:00,22:47:00
251,2022/1/14,1844,新竹,竹東,5,區間,22:35:00,22:35:00
252,2022/1/14,2,臺北,臺北-環島,19,莒光(有身障座位),08:10:00,08:10:00
253,2022/1/14,2003,彰化,嘉義,10,區間快,06:42:00,06:42:00
254,2022/1/14,2004,嘉義,臺中,10,區間快,06:34:00,06:34:00
255,2022/1/14,2008,彰化,基隆,10,區間快,06:00:00,06:00:00
256,2022/1/14,2011,七堵,彰化,10,區間快,04:57:00,04:57:00
257,2022/1/14,2016,彰化,豐原,10,區間快,14:45:00,14:45:00
258,2022/1/14,2017,豐原,員林,10,區間快,15:51:00,15:51:00
259,2022/1/14,202,樹林,花蓮,30,普悠瑪,05:35:00,05:40:00
260,2022/1/14,2021,豐原,彰化,10,區間快,17:18:00,17:18:00
261,2022/1/14,2023,臺中,二水,10,區間快,18:05:00,18:05:00
262,2022/1/14,2027,臺中,嘉義,10,區間快,19:03:00,19:03:00
263,2022/1/14,203,花蓮,樹林,30,普悠瑪,06:01:00,06:01:00
264,2022/1/14,2033,七堵,彰化,10,區間快,16:50:00,16:50:00
265,2022/1/14,204,樹林,花蓮,30,自強(DMU2800 型柴聯),05:54:00,05:59:00
266,2022/1/14,2042,員林,七堵,10,區間快,17:19:00,17:19:00
267,2022/1/14,2046,彰化,七堵,10,區間快,20:19:00,20:19:00
268,2022/1/14,207,壽豐,樹林,30,太魯閣,07:07:00,07:07:00
269,2022/1/14,2101,臺中,田中,5,區間,06:25:00,06:25:00
270,2022/1/14,2103,新竹,嘉義,5,區間,05:08:00,05:08:00
271,2022/1/14,211,花蓮,樹林,30,普悠瑪,08:38:00,08:38:00
272,2022/1/14,2113,北湖,嘉義,5,區間,05:29:00,05:31:00
273,2022/1/14,2114,彰化,基隆,5,區間,05:00:00,05:00:00
274,2022/1/14,2115,豐原,彰化,5,區間,07:19:00,07:19:00
275,2022/1/14,2116,彰化,臺中,5,區間,05:46:00,05:46:00
276,2022/1/14,212,樹林,花蓮,30,自強(推拉式自強號且無自行車車廂),08:29:00,08:39:00
277,2022/1/14,2120,二水,基隆,5,區間,05:19:00,05:19:00
